"health","goout","ClasseGoout"
"3","4","Alto"
"3","3","Regular"
"3","2","Baixo"
"5","2","Baixo"
"5","2","Baixo"
"5","2","Baixo"
"3","4","Alto"
"1","4","Alto"
"1","2","Baixo"
"5","1","Muito baixo"
"2","3","Regular"
"4","2","Baixo"
"5","3","Regular"
"3","3","Regular"
"3","2","Baixo"
"2","4","Alto"
"2","3","Regular"
"4","2","Baixo"
"5","5","Muito alto"
"5","3","Regular"
"1","1","Muito baixo"
"5","2","Baixo"
"5","1","Muito baixo"
"5","4","Alto"
"5","2","Baixo"
"5","2","Baixo"
"5","2","Baixo"
"1","4","Alto"
"5","3","Regular"
"5","5","Muito alto"
"5","2","Baixo"
"5","1","Muito baixo"
"5","2","Baixo"
"2","2","Baixo"
"5","3","Regular"
"5","1","Muito baixo"
"4","3","Regular"
"5","3","Regular"
"5","2","Baixo"
"2","1","Muito baixo"
"3","3","Regular"
"5","3","Regular"
"5","3","Regular"
"1","1","Muito baixo"
"5","3","Regular"
"5","2","Baixo"
"3","5","Muito alto"
"2","2","Baixo"
"5","3","Regular"
"3","4","Alto"
"4","3","Regular"
"5","3","Regular"
"5","5","Muito alto"
"5","4","Alto"
"1","4","Alto"
"2","4","Alto"
"1","2","Baixo"
"5","2","Baixo"
"5","2","Baixo"
"5","3","Regular"
"4","4","Alto"
"5","5","Muito alto"
"1","3","Regular"
"4","4","Alto"
"2","4","Alto"
"1","3","Regular"
"3","3","Regular"
"5","3","Regular"
"4","3","Regular"
"3","2","Baixo"
"5","2","Baixo"
"3","3","Regular"
"5","4","Alto"
"5","2","Baixo"
"5","3","Regular"
"5","3","Regular"
"1","3","Regular"
"3","3","Regular"
"3","1","Muito baixo"
"3","3","Regular"
"3","2","Baixo"
"5","2","Baixo"
"5","4","Alto"
"4","3","Regular"
"4","2","Baixo"
"5","4","Alto"
"2","4","Alto"
"1","3","Regular"
"3","2","Baixo"
"5","3","Regular"
"4","3","Regular"
"1","5","Muito alto"
"2","3","Regular"
"1","3","Regular"
"4","4","Alto"
"1","2","Baixo"
"4","3","Regular"
"5","5","Muito alto"
"1","4","Alto"
"3","5","Muito alto"
"4","5","Muito alto"
"4","3","Regular"
"5","3","Regular"
"2","5","Muito alto"
"1","4","Alto"
"4","3","Regular"
"3","2","Baixo"
"5","3","Regular"
"1","5","Muito alto"
"4","5","Muito alto"
"4","3","Regular"
"2","2","Baixo"
"5","2","Baixo"
"3","2","Baixo"
"5","2","Baixo"
"5","4","Alto"
"2","3","Regular"
"5","2","Baixo"
"5","4","Alto"
"4","3","Regular"
"1","3","Regular"
"5","4","Alto"
"5","2","Baixo"
"5","4","Alto"
"5","4","Alto"
"5","5","Muito alto"
"1","2","Baixo"
"5","2","Baixo"
"4","3","Regular"
"4","5","Muito alto"
"5","2","Baixo"
"4","3","Regular"
"5","4","Alto"
"5","1","Muito baixo"
"5","3","Regular"
"5","3","Regular"
"5","5","Muito alto"
"5","2","Baixo"
"5","4","Alto"
"5","2","Baixo"
"3","2","Baixo"
"2","3","Regular"
"5","2","Baixo"
"1","4","Alto"
"5","5","Muito alto"
"5","2","Baixo"
"3","2","Baixo"
"5","2","Baixo"
"5","2","Baixo"
"5","5","Muito alto"
"4","5","Muito alto"
"5","4","Alto"
"3","1","Muito baixo"
"4","4","Alto"
"4","1","Muito baixo"
"1","4","Alto"
"5","2","Baixo"
"4","5","Muito alto"
"3","2","Baixo"
"5","5","Muito alto"
"5","2","Baixo"
"3","4","Alto"
"5","4","Alto"
"2","3","Regular"
"5","5","Muito alto"
"2","2","Baixo"
"4","5","Muito alto"
"3","3","Regular"
"4","5","Muito alto"
"3","2","Baixo"
"2","5","Muito alto"
"3","2","Baixo"
"5","4","Alto"
"3","5","Muito alto"
"4","5","Muito alto"
"4","4","Alto"
"5","4","Alto"
"4","4","Alto"
"3","3","Regular"
"2","3","Regular"
"3","3","Regular"
"3","3","Regular"
"5","2","Baixo"
"1","3","Regular"
"1","2","Baixo"
"4","4","Alto"
"3","3","Regular"
"5","3","Regular"
"3","3","Regular"
"3","3","Regular"
"2","3","Regular"
"3","3","Regular"
"5","4","Alto"
"5","2","Baixo"
"3","3","Regular"
"5","2","Baixo"
"5","3","Regular"
"3","4","Alto"
"2","4","Alto"
"3","2","Baixo"
"2","5","Muito alto"
"4","3","Regular"
"1","4","Alto"
"3","2","Baixo"
"5","5","Muito alto"
"5","3","Regular"
"4","3","Regular"
"1","2","Baixo"
"5","2","Baixo"
"4","2","Baixo"
"3","3","Regular"
"3","5","Muito alto"
"4","4","Alto"
"5","4","Alto"
"3","1","Muito baixo"
"1","4","Alto"
"1","5","Muito alto"
"4","4","Alto"
"3","3","Regular"
"4","3","Regular"
"5","5","Muito alto"
"5","4","Alto"
"3","1","Muito baixo"
"4","3","Regular"
"5","2","Baixo"
"4","3","Regular"
"3","4","Alto"
"3","3","Regular"
"3","2","Baixo"
"3","3","Regular"
"3","3","Regular"
"1","2","Baixo"
"2","5","Muito alto"
"1","4","Alto"
"5","2","Baixo"
"2","3","Regular"
"4","2","Baixo"
"5","2","Baixo"
"3","1","Muito baixo"
"2","4","Alto"
"5","5","Muito alto"
"4","3","Regular"
"3","5","Muito alto"
"5","2","Baixo"
"3","4","Alto"
"4","3","Regular"
"2","2","Baixo"
"1","5","Muito alto"
"5","3","Regular"
"5","2","Baixo"
"5","5","Muito alto"
"2","3","Regular"
"5","5","Muito alto"
"3","2","Baixo"
"5","2","Baixo"
"5","4","Alto"
"4","3","Regular"
"1","1","Muito baixo"
"4","4","Alto"
"2","1","Muito baixo"
"2","2","Baixo"
"3","2","Baixo"
"3","2","Baixo"
"4","3","Regular"
"3","3","Regular"
"1","5","Muito alto"
"5","4","Alto"
"4","4","Alto"
"5","5","Muito alto"
"3","5","Muito alto"
"5","5","Muito alto"
"2","5","Muito alto"
"3","3","Regular"
"1","2","Baixo"
"1","3","Regular"
"5","4","Alto"
"5","1","Muito baixo"
"3","4","Alto"
"4","4","Alto"
"1","3","Regular"
"5","4","Alto"
"3","4","Alto"
"3","2","Baixo"
"4","4","Alto"
"5","5","Muito alto"
"4","3","Regular"
"2","3","Regular"
"3","3","Regular"
"2","4","Alto"
"2","3","Regular"
"5","2","Baixo"
"3","2","Baixo"
"5","3","Regular"
"3","2","Baixo"
"4","2","Baixo"
"5","3","Regular"
"2","4","Alto"
"2","5","Muito alto"
"3","3","Regular"
"1","2","Baixo"
"4","4","Alto"
"5","1","Muito baixo"
"3","3","Regular"
"5","2","Baixo"
"3","4","Alto"
"3","3","Regular"
"5","3","Regular"
"4","4","Alto"
"5","3","Regular"
"3","3","Regular"
"3","4","Alto"
"2","1","Muito baixo"
"4","2","Baixo"
"1","2","Baixo"
"3","2","Baixo"
"3","2","Baixo"
"1","3","Regular"
"5","4","Alto"
"5","4","Alto"
"5","4","Alto"
"5","2","Baixo"
"3","2","Baixo"
"3","2","Baixo"
"5","3","Regular"
"2","3","Regular"
"3","3","Regular"
"5","5","Muito alto"
"4","5","Muito alto"
"4","4","Alto"
"4","3","Regular"
"5","5","Muito alto"
"5","3","Regular"
"4","4","Alto"
"2","3","Regular"
"4","4","Alto"
"5","5","Muito alto"
"5","3","Regular"
"2","2","Baixo"
"1","3","Regular"
"2","3","Regular"
"3","4","Alto"
"2","3","Regular"
"5","3","Regular"
"4","1","Muito baixo"
"3","3","Regular"
"1","3","Regular"
"4","2","Baixo"
"5","5","Muito alto"
"4","3","Regular"
"5","5","Muito alto"
"2","4","Alto"
"3","4","Alto"
"3","3","Regular"
"5","4","Alto"
"2","5","Muito alto"
"5","4","Alto"
"5","3","Regular"
"5","3","Regular"
"3","2","Baixo"
"4","2","Baixo"
"5","4","Alto"
"5","3","Regular"
"3","2","Baixo"
"1","4","Alto"
"3","2","Baixo"
"3","4","Alto"
"5","2","Baixo"
"1","1","Muito baixo"
"4","3","Regular"
"5","2","Baixo"
"3","2","Baixo"
"3","3","Regular"
"3","3","Regular"
"1","5","Muito alto"
"1","4","Alto"
"4","2","Baixo"
"3","3","Regular"
"2","3","Regular"
"1","3","Regular"
"1","4","Alto"
"2","4","Alto"
"5","3","Regular"
"3","3","Regular"
"5","2","Baixo"
"3","3","Regular"
