"health","romantic","ClasseHealth"
"4","yes","Bom"
"4","yes","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","no","Bom"
"4","yes","Bom"
"4","yes","Bom"
"4","no","Bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
