"walc","school"
"1","GP"
"1","GP"
"3","GP"
"1","GP"
"2","GP"
"2","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"2","GP"
"1","GP"
"3","GP"
"2","GP"
"1","GP"
"2","GP"
"2","GP"
"1","GP"
"4","GP"
"3","GP"
"1","GP"
"1","GP"
"3","GP"
"4","GP"
"1","GP"
"3","GP"
"2","GP"
"4","GP"
"1","GP"
"5","GP"
"4","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"2","GP"
"4","GP"
"1","GP"
"1","GP"
"2","GP"
"1","GP"
"4","GP"
"1","GP"
"2","GP"
"1","GP"
"3","GP"
"1","GP"
"4","GP"
"3","GP"
"4","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"3","GP"
"5","GP"
"1","GP"
"4","GP"
"4","GP"
"2","GP"
"5","GP"
"2","GP"
"3","GP"
"3","GP"
"1","GP"
"1","GP"
"4","GP"
"2","GP"
"4","GP"
"3","GP"
"1","GP"
"3","GP"
"1","GP"
"2","GP"
"3","GP"
"2","GP"
"1","GP"
"3","GP"
"3","GP"
"3","GP"
"2","GP"
"3","GP"
"1","GP"
"5","GP"
"3","GP"
"3","GP"
"3","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"2","GP"
"1","GP"
"5","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"5","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"2","GP"
"1","GP"
"1","GP"
"4","GP"
"2","GP"
"2","GP"
"2","GP"
"2","GP"
"4","GP"
"1","GP"
"2","GP"
"1","GP"
"1","GP"
"2","GP"
"5","GP"
"2","GP"
"2","GP"
"3","GP"
"4","GP"
"1","GP"
"1","GP"
"4","GP"
"1","GP"
"3","GP"
"1","GP"
"1","GP"
"2","GP"
"1","GP"
"3","GP"
"2","GP"
"2","GP"
"1","GP"
"1","GP"
"1","GP"
"5","GP"
"5","GP"
"5","GP"
"3","GP"
"1","GP"
"1","GP"
"1","GP"
"3","GP"
"5","GP"
"2","GP"
"4","GP"
"2","GP"
"4","GP"
"4","GP"
"4","GP"
"5","GP"
"1","GP"
"4","GP"
"1","GP"
"1","GP"
"1","GP"
"4","GP"
"1","GP"
"3","GP"
"1","GP"
"1","GP"
"4","GP"
"4","GP"
"4","GP"
"4","GP"
"1","GP"
"3","GP"
"2","GP"
"3","GP"
"3","GP"
"2","GP"
"3","GP"
"2","GP"
"2","GP"
"3","GP"
"5","GP"
"1","GP"
"1","GP"
"5","GP"
"4","GP"
"1","GP"
"1","GP"
"2","GP"
"5","GP"
"3","GP"
"2","GP"
"5","GP"
"3","GP"
"3","GP"
"2","GP"
"1","GP"
"4","GP"
"2","GP"
"1","GP"
"4","GP"
"1","GP"
"2","GP"
"5","GP"
"1","GP"
"4","GP"
"2","GP"
"3","GP"
"4","GP"
"4","GP"
"4","GP"
"1","GP"
"2","GP"
"1","GP"
"1","GP"
"5","GP"
"1","GP"
"1","GP"
"3","GP"
"3","GP"
"5","GP"
"2","GP"
"2","GP"
"1","GP"
"3","GP"
"4","GP"
"1","GP"
"3","GP"
"5","GP"
"1","GP"
"1","GP"
"5","GP"
"4","GP"
"3","GP"
"1","GP"
"2","GP"
"1","GP"
"1","GP"
"1","GP"
"5","GP"
"3","GP"
"4","GP"
"4","GP"
"3","GP"
"5","GP"
"3","GP"
"4","GP"
"2","GP"
"1","GP"
"1","GP"
"2","GP"
"1","GP"
"3","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"4","GP"
"4","GP"
"2","GP"
"3","GP"
"2","GP"
"3","GP"
"3","GP"
"1","GP"
"2","GP"
"1","GP"
"3","GP"
"1","GP"
"4","GP"
"1","GP"
"2","GP"
"4","GP"
"4","GP"
"1","GP"
"1","GP"
"2","GP"
"2","GP"
"2","GP"
"1","GP"
"3","GP"
"1","GP"
"4","GP"
"2","GP"
"1","GP"
"1","GP"
"1","GP"
"3","GP"
"3","GP"
"2","GP"
"1","GP"
"2","GP"
"1","GP"
"2","GP"
"1","GP"
"2","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"2","GP"
"3","GP"
"2","GP"
"1","GP"
"2","GP"
"2","GP"
"1","GP"
"1","GP"
"2","GP"
"1","GP"
"5","GP"
"3","GP"
"2","GP"
"1","GP"
"2","GP"
"3","GP"
"3","GP"
"2","GP"
"5","GP"
"5","GP"
"3","GP"
"2","GP"
"4","GP"
"1","GP"
"1","GP"
"1","GP"
"1","GP"
"3","GP"
"2","GP"
"3","GP"
"1","GP"
"3","GP"
"3","GP"
"2","GP"
"3","GP"
"2","GP"
"2","GP"
"3","GP"
"2","GP"
"3","GP"
"3","GP"
"5","MS"
"3","MS"
"3","MS"
"3","MS"
"3","MS"
"3","MS"
"1","MS"
"2","MS"
"2","MS"
"2","MS"
"1","MS"
"4","MS"
"3","MS"
"3","MS"
"1","MS"
"2","MS"
"4","MS"
"2","MS"
"2","MS"
"2","MS"
"2","MS"
"1","MS"
"3","MS"
"1","MS"
"3","MS"
"1","MS"
"2","MS"
"1","MS"
"4","MS"
"2","MS"
"3","MS"
"4","MS"
"3","MS"
"1","MS"
"3","MS"
"3","MS"
"3","MS"
"2","MS"
"2","MS"
"1","MS"
"1","MS"
"5","MS"
"4","MS"
"3","MS"
"4","MS"
"3","MS"
