"school","sex","age","address","famsize","pstatus","medu","fedu","mjob","fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","dalc","walc","health","absences","g1","g2","g3"
"GP","F","15","U","GT3","T","4","4","teacher","health","reputation","mother","1","2","0","no","yes","yes","no","yes","yes","yes","no","3","3","3","1","2","2","0","10","8","9"
"GP","F","16","U","GT3","T","4","4","health","other","home","mother","1","1","0","no","yes","no","no","yes","yes","yes","no","4","4","4","1","2","2","4","14","14","14"
"GP","F","16","U","GT3","T","4","4","services","services","reputation","mother","1","3","0","no","yes","yes","yes","yes","yes","yes","no","3","2","3","1","2","2","6","13","14","14"
"GP","M","15","U","LE3","T","3","3","other","other","course","mother","1","2","0","no","no","no","yes","no","yes","yes","no","5","3","2","1","1","2","0","8","10","12"
"GP","F","15","R","GT3","T","2","2","at_home","other","reputation","mother","1","1","0","yes","yes","yes","yes","yes","yes","no","no","4","3","1","1","1","2","8","14","13","13"
"GP","M","16","U","GT3","T","4","3","health","services","reputation","mother","1","4","0","no","no","no","yes","yes","yes","yes","no","4","2","2","1","1","2","4","19","19","20"
"GP","F","16","U","GT3","A","2","1","other","other","other","mother","1","2","0","no","no","yes","yes","yes","yes","yes","yes","5","3","4","1","1","2","8","8","9","10"
"GP","F","15","U","LE3","T","4","3","services","services","reputation","father","1","2","0","yes","no","no","yes","yes","yes","yes","yes","4","4","4","2","4","2","0","10","10","10"
"GP","F","16","U","LE3","T","2","2","at_home","other","course","mother","1","2","0","no","yes","no","no","yes","yes","no","no","4","3","4","1","2","2","4","8","7","6"
"GP","F","16","U","LE3","T","3","1","other","other","home","father","1","2","0","yes","yes","no","no","yes","yes","no","no","3","3","3","2","3","2","4","7","6","6"
"GP","F","15","U","GT3","T","3","2","services","other","home","mother","2","2","0","yes","yes","yes","no","yes","yes","yes","no","4","3","5","1","1","2","26","7","6","6"
"GP","F","16","R","GT3","T","3","3","services","other","reputation","father","1","3","1","yes","yes","no","yes","yes","yes","yes","no","4","1","2","1","1","2","0","7","10","10"
"GP","M","15","U","GT3","T","4","4","other","teacher","reputation","father","2","2","0","no","yes","no","yes","yes","yes","no","no","4","4","3","1","1","2","2","11","13","14"
"GP","M","16","U","LE3","T","2","2","services","services","reputation","father","2","1","2","no","yes","no","yes","yes","yes","yes","no","2","3","3","2","2","2","8","9","9","9"
"GP","M","17","U","GT3","T","1","3","at_home","services","course","father","1","1","0","no","no","no","no","yes","no","yes","no","5","3","3","1","4","2","2","10","10","10"
"GP","M","16","U","GT3","T","3","2","services","services","course","mother","2","1","1","no","yes","no","yes","no","no","no","no","4","5","2","1","1","2","16","12","11","12"
"GP","M","16","U","GT3","T","3","4","other","other","course","father","3","1","2","no","yes","no","yes","no","yes","yes","no","3","4","5","2","4","2","0","6","5","0"
"GP","M","17","U","GT3","T","4","3","other","other","course","mother","1","2","0","no","yes","no","yes","yes","yes","yes","yes","5","2","3","1","1","2","4","10","10","11"
"GP","F","16","U","GT3","T","2","3","services","services","course","mother","1","2","0","no","no","no","no","yes","yes","yes","no","4","3","3","1","1","2","10","11","12","13"
"GP","F","17","U","GT3","T","4","4","services","teacher","home","mother","2","1","1","no","yes","no","no","yes","yes","yes","no","4","2","4","2","3","2","24","18","18","18"
"GP","F","16","U","GT3","T","4","3","health","other","home","mother","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","3","5","1","5","2","2","16","16","16"
"GP","M","17","U","GT3","T","4","4","teacher","teacher","reputation","mother","1","2","0","yes","yes","no","yes","yes","yes","yes","yes","4","5","5","1","3","2","14","11","9","9"
"GP","M","16","U","GT3","T","3","2","at_home","other","reputation","mother","2","3","0","no","no","no","yes","yes","yes","yes","yes","5","3","3","1","3","2","10","11","9","10"
"GP","M","18","U","GT3","T","2","2","other","services","reputation","father","1","2","1","no","no","no","no","yes","no","yes","no","5","5","4","3","5","2","0","7","7","0"
"GP","M","17","U","GT3","T","2","3","other","other","course","father","2","1","0","no","no","no","no","yes","yes","yes","no","5","2","2","1","1","2","4","12","12","13"
"GP","M","16","U","GT3","T","3","3","at_home","other","reputation","other","3","2","0","yes","yes","no","no","no","yes","yes","no","5","3","3","1","3","2","6","7","10","10"
"GP","F","17","U","LE3","T","2","2","services","services","course","father","1","4","0","no","no","yes","yes","yes","yes","yes","yes","3","4","1","1","1","2","0","10","9","0"
"GP","F","18","U","GT3","T","4","3","services","other","home","father","1","2","0","no","yes","yes","no","yes","yes","yes","yes","3","1","2","1","3","2","21","17","18","18"
"GP","F","18","U","GT3","T","2","3","other","services","reputation","father","1","4","0","no","yes","yes","yes","yes","yes","yes","yes","4","5","5","1","3","2","4","15","14","14"
"GP","F","18","U","GT3","T","2","2","at_home","at_home","other","mother","1","3","0","no","yes","yes","no","yes","yes","yes","no","4","3","3","1","2","2","5","18","18","19"
"GP","M","18","U","GT3","T","2","1","services","services","reputation","mother","1","3","0","no","no","yes","yes","yes","yes","yes","no","4","2","4","1","3","2","6","15","14","14"
"GP","M","18","U","LE3","A","4","4","teacher","teacher","reputation","mother","1","2","0","no","yes","yes","yes","yes","yes","yes","no","5","4","3","1","1","2","9","15","13","15"
"GP","F","19","U","GT3","T","4","4","health","other","reputation","other","2","2","0","no","yes","yes","yes","yes","yes","yes","no","2","3","4","2","3","2","0","10","9","0"
"GP","F","18","U","LE3","T","4","3","other","other","home","other","2","2","0","no","yes","yes","no","yes","yes","yes","yes","4","4","5","1","2","2","10","10","8","8"
"GP","F","19","U","GT3","T","2","1","at_home","other","other","other","3","2","0","no","yes","no","no","yes","no","yes","yes","3","4","1","1","1","2","20","14","12","13"
